conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label
1917176685235225062,Tue Apr 29 23:59:38 +0000 2025,1,@AdindaZahrany07 Yang aneh lagi korupsi pertamina kok s3karang senyap2 ajà. Sementara jumlahnya lebih besar kerugian negara. Ada apa ini negara,1917368209675805179,,AdindaZahrany07,in,,0,1,0,https://x.com/undefined/status/1917368209675805179,1496642712799383554,,netral
1917189985931088282,Tue Apr 29 23:46:10 +0000 2025,1,@MarahIchsan karna di korupsi trs..pertamina byk manusia2 anjing,1917364821030494574,,MarahIchsan,in,,0,0,0,https://x.com/undefined/status/1917364821030494574,1477906212171640833,,netral
1917222719260877049,Tue Apr 29 22:52:24 +0000 2025,0,@Mdy_Asmara1701 sambil nanya soal oplosan BBM Pertamina tetiba KPK menyatakan ET dn adiknya tidak terlibat. Mendahului sebelum didahului tehnik baru dalam pengembangan anti koruptor (korupsi yg terbongkar).??,1917351290277093738,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1917351290277093738,1797257016676933632,,negatif
1917189985931088282,Tue Apr 29 22:44:44 +0000 2025,1,@MarahIchsan bukan barang aneh itu kang MALING BIADAB KORUPSI PERTAMINA itu pling jelas.,1917349360725287371,,MarahIchsan,in,,0,1,0,https://x.com/undefined/status/1917349360725287371,1770178175768879104,,negatif
1917085330144198857,Tue Apr 29 22:27:07 +0000 2025,0,@KangManto123 Jadi masuk akal kan KLO pa Anies kasih program BBM gratis. Listrik gratis. Pendidikan gratis. Ckup tangkep satu mafia korupsi Pertamina aja udah bnyak itu dana nya. Apalagi korupsi tambang dll.,1917344924854542382,,KangManto123,in,,0,0,0,https://x.com/undefined/status/1917344924854542382,1741336428750258176,,positif
1917189985931088282,Tue Apr 29 21:19:37 +0000 2025,0,@grok @MarahIchsan @grok perluas analisa keuangan pertamina 2018-2024 korupsi 193 7 T. kapan balik modal dan adakah post neraca biaya ditangguhkan besar/kurang wajar. jawab angka² realistik dan berbahasa indonesia,1917327937315168556,,grok,in,,0,1,0,https://x.com/undefined/status/1917327937315168556,1824093121392885760,,negatif
1917062506113339706,Tue Apr 29 20:50:52 +0000 2025,8,@awwww5366654367 @spaceooddity @ruliemaulana walah dalah santai dong kakaknya wkwk ini kan konteksnya bahas kb ya napa jd bahas korupsi pertamina ntu bukan urusan sy kk kirim surat aje gih ke prabowo emosi bgt kknya nih kykny minum air putih dulu ka trs tidur wkwkwkwkkwkwke lucu dah,1917320703503917220,,awwww5366654367,in,,0,4,0,https://x.com/undefined/status/1917320703503917220,1906734793515220992,,netral
1917070134516351463,Tue Apr 29 19:48:28 +0000 2025,0,@idlelicates gue punya temen kaya anak org gede di pertamina kl smpe ad info ortunya trnyta terlibat dgn korupsi pertamina kmrn omg i would go feral,1917305000268816843,,iamischievous,in,,0,0,0,https://x.com/undefined/status/1917305000268816843,1447835081041584129,,netral
1917070134516351463,Tue Apr 29 17:32:23 +0000 2025,1,@soberswordsman @idlelicates Konteksnya Dian Sastro dikaitkan dengan korupsi karena kakek suaminya Ibnu Sutowo eks direktur Pertamina dulu terlibat skandal korupsi hingga dipecat tahun 1976. Skandal Pertamina terbaru (Februari 2025 rugi $12 miliar) memicu diskusi ulang tapi ini tidak terkait dengan,1917270755139805603,,soberswordsman,in,,0,0,0,https://x.com/undefined/status/1917270755139805603,1720665183188922368,,negatif
1917216783154688111,Tue Apr 29 16:47:13 +0000 2025,6,@speaksincode @IndoPopBase Negara masih bisa bikin retreat-retreat ala tentara-tentaraan buat pejabat artinya masih punya banyak duit tuh. Lagian kemana duit hasil korupsi pengeceran bensin Pertamina pemalsuan 100 ton emas Antam dll? Kalo kurang duit ya tinggal tangkep &amp; rampas asetnya kok malah vasek.,1917259385669312891,,pookeemag,in,,0,0,0,https://x.com/undefined/status/1917259385669312891,1005123494470869003,,negatif
1917081410726224368,Tue Apr 29 16:18:36 +0000 2025,0,@ARSIPAJA Tp g termasuk dalam korupsi pertamina yg ditangani kejagung kmrn kan...?,1917252185739722852,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1917252185739722852,1898427168641912832,,negatif
1917081410726224368,Tue Apr 29 14:42:03 +0000 2025,1,@ARSIPAJA Yang perlu dipertanyakan adalah selama ini dianggarkan atau tidak? Kalau dianggarkan tapi tidak dibayarkan ke Pertamina ya ini korupsi. Tapi kalau memang tidak dianggarkan ya perlu ada mekanismenya yang baku. Biar TNI ini bisa patroli dengan baik. Gitu aja kok repot.,1917227888295751815,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1917227888295751815,438337372,,netral
1917226827774628058,Tue Apr 29 14:37:50 +0000 2025,1,Perbandingan nilai korupsi antara kasus 1MDB (Rp 72 triliun) dan kasus korupsi Pertamina (Rp 968 5 triliun). Terlihat bahwa skala korupsi Pertamina jauh lebih besar sekitar 1245% lebih besar dibandingkan skandal 1MDB. (kurs asumsi Rp 16.000/USD) https://t.co/6lapMNCiTN,1917226827774628058,https://pbs.twimg.com/media/GptbMZebcAA3kQQ.jpg,,in,,0,0,1,https://x.com/undefined/status/1917226827774628058,2452351969,,negatif
1917189985931088282,Tue Apr 29 14:15:56 +0000 2025,0,@MarahIchsan Soalnya management yg menjalankan pertamina NGAK KORUPSI dan PENGAWASANNYA KETAT ...pasti untung jadinya,1917221316392075612,,MarahIchsan,in,,0,0,0,https://x.com/undefined/status/1917221316392075612,1451692688747614212,,negatif
1916643965920567615,Tue Apr 29 13:57:47 +0000 2025,8,@mnsyhar @insidefolkative Lawak lu... Ibnu Sutowo (kakek mertua Dian Sastro) itu jadi Direktur Utama Pertamina cuman sampai tahun 1976 dan udah dipecat Soeharto. Gak ada urusannya sama kasus korupsi Pertalite belakangan kocak. Gini nih orang sotoy asbun sok edgy kebelet nyinyir tapi gak paham sejarah. ,1917216748857888998,,mnsyhar,in,,2,5,0,https://x.com/undefined/status/1917216748857888998,82550378,,negatif
1917070134516351463,Tue Apr 29 13:38:28 +0000 2025,3952,@HerozillaA6408 Korupsi Pertamina kalau mau baca-baca googling aja keyword Ibnu Sutowo ,1917211884731973705,,HerozillaA6408,in,,3,6,85,https://x.com/undefined/status/1917211884731973705,1393392535267987461,,positif
1917017901359628502,Tue Apr 29 13:13:31 +0000 2025,0,@MariaAlkaff_ Yg korupsi Pertamina kemaren kemana juntrungannya muncul lg yg lain,1917205608409035029,,MariaAlkaff_,in,,0,0,0,https://x.com/undefined/status/1917205608409035029,262944555,,negatif
1917063178196029638,Tue Apr 29 13:11:01 +0000 2025,0,@NalarPolitik_ Pertamina gak bakal bisa bersaing di dunia internasional selain di korupsi bancaan bersama terus hutang2 lembaga minta dibebaskan.,1917204976847528107,,PaltiHutabarat,in,,0,0,1,https://x.com/undefined/status/1917204976847528107,2266135086,,negatif
1917204723163185191,Tue Apr 29 13:10:00 +0000 2025,1,KEJAKSAAN Agung (Kejagung) kembali memeriksa petinggi perusahaan swasta sebagai saksi di kasus dugaan korupsi tata kelola minyak mentah dan produk kilang pada PT Pertamina. Itu terkait pengembangan kasus tersebut. https://t.co/rs66hw1phg,1917204723163185191,,,in,,0,0,0,https://x.com/undefined/status/1917204723163185191,68930552,,negatif
